问题,回答,文本,相关三元组
空气涡轮ППО是由什么部件传动的？,空气涡轮ППО是由高压压气机（具体为高压压气机第XI级）引入的压缩空气驱动的。,"{'title': '恒速传动系统', 'text': '对发电机的传动，经过游星减速器有两个传动来源，一个是由发动机高压压气机转子轴传动，另一个是由空气涡轮ППО传动\n    空气涡轮ППО的转速和发动机的转速成反比变化，发动机转速越高，ППО的转速反而越低，最终将发电机保持在额定转速上运转。\n    但在发动机开车和在慢车之前，是关闭的，节流风门位于关闭的位置，发电\n机的转速和发动机高压压气机成正比例的变化(发电机的转速在额定转速以下),当发动机达到慢车转速时，ППО被接通，有电压供给电磁活门MKT-372,这时节流风门打开。空气由高压压气机进入空气涡轮ППО, ППО转速增加，带动发电机到额定转速，由调节器保持发电机的额定转速，不随发动机的工作状态、负荷和飞行条件而改变。\n    当发电机转速偏离额定转速时，调节器的转速也改变，通过摇臂系统，操纵节流风门开大或关小，改变进入ППО的空气量，使ППО的转速变大或变小，从而使发电机的转速也随之改变，恢复到额定转速。\n    为了防止ППО在发动机低于慢车转速时或其它情况“提前”被接通，从而使ППО超过最大的允许转速，为此在ППО的构造中，设有压差信号器XCI-1.2,使发动机转速小于“慢车转速”的情况下，ППО接不通。也就是当发动机转速减少到小于慢车转速时，压差信号器膜盒接触点脱开，电路断开，使ППО关闭。\n    在游星减速器的输出轴上装有极限连轴器，当发电机卡滞或飞机电力系统工作不正常、发电机负荷过大时，为了预防其它传动机构损伤，极限连轴器折断，在ППО的齿轮减速箱内还有棘轮机构，防止在关闭空气涡轮时产生反转。\n技术参数如下：\nГТ60ПЧ6А额定转速                        6000r/min±60r/min\nГТ60ПЧ6А最大允许转速                    7050r/min±200r/min\n高压压气机转速范围(发电机保持恒速)        (5870～10860)r/min\n发动机在额定转速内交流频率                400Hz±4Hz\n空气涡轮ППО工作转速                     (4300～34600)r/min\n离心开关限制转速                          (46120±1030)r/min\n除慢车转速外，在发动机所有状态，\n由ППО驱动发电机的功率\n(COSФ=0.8～1)\n    长期使用     60kW\n    5min使用     ≤90kW\n    5s瞬间       ≤120kW\n      小转速和近地飞行    ≤50kW\n      小转速高空飞行      ≤80kW'}
{'title': '引气系统和发动机防冰系统', 'text': '涡轮部件冷却空气的输送\n    为了冷却涡轮部件，冷却空气取自于发动机内函道(高压)和外函道(低压)。\n    高压空气用来冷却I、Ⅱ级涡轮的导向叶片、工作叶片与涡轮盘。\n    低压空气用来冷却Ⅲ、IV、V、VI级涡轮盘，所有导向器外环和高低压涡轮的滚子轴承支点部件。\n向空气涡轮ППО输气\n    来自高压压气机第XI级的压缩空气，沿着导管经调节风门和应急关闭ППО风门，进入空气涡轮ППО。\n向油泵调节器的最大压力限制器、起动与加速性自动装置供气\n    来自高压压气机第XI级的压缩空气，经过空气滤，沿两条导管输向起动自动装置、加速性自动装置与最大压力限制器。\n向排油系统供气\n    向前、后排油箱供给的空气均来自发动机的外函道。\n    排油箱中的燃油，被带压力的空气挤出，经导管流入通风管，导入收口中排出。\n向发动机防冰系统供气\n    在发动机低压压气机进气叶片(26片)、整流罩和温度传感器ТД-30К结冰的情况下，分别由高压压气机第VI级或第XI级向该处供给加温的空气，加温压缩空气的供给，根据发动机的工作状态是自动转换的。\n    发动机防冰系统包括：自第X级的输气管、自第VI级的输气管、配气风门、电动风门、导管和结冰信号器ДО-206 (2批)。\n    配气风门可以自动地将由高压压气机XI级的输气管供气转为由VI级的输气管供气，在高压压气机的转速超过8700r/min±150r/min,由高压压气机VI级供气，低于此转速由第XI级供气。\n    打开电动风门与热空气输向绝热的集气室，是由风门的电动机构ЭПВ-150MT进行的，当出现“结冰”信号时，手动接通电动风门，结冰信号由信号器ДО-206 (2批)发出，经自动装置БA-137(3批)传送。\n    热空气被送入集气室之后，由集气室经进气导向叶片内腔，将叶片加热，然后进入整流罩，加热整流罩外壳后，排入到发动机进气气流中。\n向飞机各用气部位供气\n    飞机机舱的空气调节和飞机机翼防冰系统所需的空气，由发动机高压压气机第XI级，经过设在发动机上部的套筒供给。\n    冷却系统所需的空气，由发动机外函道，经过设在发动机上部的短管供给。\n    向进气道防冰系统供气的空气来自高压压气机的VI和XI级，同时也向发动机防冰系统供气。'}
"
MKT-372电磁活门在什么情况下会接收到电压？,当发动机达到慢车转速时，ППО（空气涡轮）被接通，此时会有电压供给电磁活门 MKT-372，进而使节流风门打开 。,"{'title': '恒速传动系统', 'text': '对发电机的传动，经过游星减速器有两个传动来源，一个是由发动机高压压气机转子轴传动，另一个是由空气涡轮ППО传动\n    空气涡轮ППО的转速和发动机的转速成反比变化，发动机转速越高，ППО的转速反而越低，最终将发电机保持在额定转速上运转。\n    但在发动机开车和在慢车之前，是关闭的，节流风门位于关闭的位置，发电\n机的转速和发动机高压压气机成正比例的变化(发电机的转速在额定转速以下),当发动机达到慢车转速时，ППО被接通，有电压供给电磁活门MKT-372,这时节流风门打开。空气由高压压气机进入空气涡轮ППО, ППО转速增加，带动发电机到额定转速，由调节器保持发电机的额定转速，不随发动机的工作状态、负荷和飞行条件而改变。\n    当发电机转速偏离额定转速时，调节器的转速也改变，通过摇臂系统，操纵节流风门开大或关小，改变进入ППО的空气量，使ППО的转速变大或变小，从而使发电机的转速也随之改变，恢复到额定转速。\n    为了防止ППО在发动机低于慢车转速时或其它情况“提前”被接通，从而使ППО超过最大的允许转速，为此在ППО的构造中，设有压差信号器XCI-1.2,使发动机转速小于“慢车转速”的情况下，ППО接不通。也就是当发动机转速减少到小于慢车转速时，压差信号器膜盒接触点脱开，电路断开，使ППО关闭。\n    在游星减速器的输出轴上装有极限连轴器，当发电机卡滞或飞机电力系统工作不正常、发电机负荷过大时，为了预防其它传动机构损伤，极限连轴器折断，在ППО的齿轮减速箱内还有棘轮机构，防止在关闭空气涡轮时产生反转。\n技术参数如下：\nГТ60ПЧ6А额定转速                        6000r/min±60r/min\nГТ60ПЧ6А最大允许转速                    7050r/min±200r/min\n高压压气机转速范围(发电机保持恒速)        (5870～10860)r/min\n发动机在额定转速内交流频率                400Hz±4Hz\n空气涡轮ППО工作转速                     (4300～34600)r/min\n离心开关限制转速                          (46120±1030)r/min\n除慢车转速外，在发动机所有状态，\n由ППО驱动发电机的功率\n(COSФ=0.8～1)\n    长期使用     60kW\n    5min使用     ≤90kW\n    5s瞬间       ≤120kW\n      小转速和近地飞行    ≤50kW\n      小转速高空飞行      ≤80kW'}
"
压差信号器XCI-1.2在ППО构造中起什么作用？,在 ППО 的构造中设置压差信号器 XCI-1.2 的目的是为了防止 ППО 在发动机低于慢车转速时或其它情况下“提前”被接通，从而导致 ППО 超过最大的允许转速 。 具体来说，当发动机转速小于“慢车转速”时，压差信号器膜盒接触点会脱开，断开电路，从而使 ППО 关闭（接不通）。,"{'title': '恒速传动系统', 'text': '对发电机的传动，经过游星减速器有两个传动来源，一个是由发动机高压压气机转子轴传动，另一个是由空气涡轮ППО传动\n    空气涡轮ППО的转速和发动机的转速成反比变化，发动机转速越高，ППО的转速反而越低，最终将发电机保持在额定转速上运转。\n    但在发动机开车和在慢车之前，是关闭的，节流风门位于关闭的位置，发电\n机的转速和发动机高压压气机成正比例的变化(发电机的转速在额定转速以下),当发动机达到慢车转速时，ППО被接通，有电压供给电磁活门MKT-372,这时节流风门打开。空气由高压压气机进入空气涡轮ППО, ППО转速增加，带动发电机到额定转速，由调节器保持发电机的额定转速，不随发动机的工作状态、负荷和飞行条件而改变。\n    当发电机转速偏离额定转速时，调节器的转速也改变，通过摇臂系统，操纵节流风门开大或关小，改变进入ППО的空气量，使ППО的转速变大或变小，从而使发电机的转速也随之改变，恢复到额定转速。\n    为了防止ППО在发动机低于慢车转速时或其它情况“提前”被接通，从而使ППО超过最大的允许转速，为此在ППО的构造中，设有压差信号器XCI-1.2,使发动机转速小于“慢车转速”的情况下，ППО接不通。也就是当发动机转速减少到小于慢车转速时，压差信号器膜盒接触点脱开，电路断开，使ППО关闭。\n    在游星减速器的输出轴上装有极限连轴器，当发电机卡滞或飞机电力系统工作不正常、发电机负荷过大时，为了预防其它传动机构损伤，极限连轴器折断，在ППО的齿轮减速箱内还有棘轮机构，防止在关闭空气涡轮时产生反转。\n技术参数如下：\nГТ60ПЧ6А额定转速                        6000r/min±60r/min\nГТ60ПЧ6А最大允许转速                    7050r/min±200r/min\n高压压气机转速范围(发电机保持恒速)        (5870～10860)r/min\n发动机在额定转速内交流频率                400Hz±4Hz\n空气涡轮ППО工作转速                     (4300～34600)r/min\n离心开关限制转速                          (46120±1030)r/min\n除慢车转速外，在发动机所有状态，\n由ППО驱动发电机的功率\n(COSФ=0.8～1)\n    长期使用     60kW\n    5min使用     ≤90kW\n    5s瞬间       ≤120kW\n      小转速和近地飞行    ≤50kW\n      小转速高空飞行      ≤80kW'}
"
调节器是如何改变进入ППО的空气量的？,当发电机转速偏离额定转速时，调节器的转速也会随之改变。此时，调节器通过摇臂系统，操纵节流风门开大或关小，从而改变进入空气涡轮 ППО 的空气量 。,"{'title': '恒速传动系统', 'text': '对发电机的传动，经过游星减速器有两个传动来源，一个是由发动机高压压气机转子轴传动，另一个是由空气涡轮ППО传动\n    空气涡轮ППО的转速和发动机的转速成反比变化，发动机转速越高，ППО的转速反而越低，最终将发电机保持在额定转速上运转。\n    但在发动机开车和在慢车之前，是关闭的，节流风门位于关闭的位置，发电\n机的转速和发动机高压压气机成正比例的变化(发电机的转速在额定转速以下),当发动机达到慢车转速时，ППО被接通，有电压供给电磁活门MKT-372,这时节流风门打开。空气由高压压气机进入空气涡轮ППО, ППО转速增加，带动发电机到额定转速，由调节器保持发电机的额定转速，不随发动机的工作状态、负荷和飞行条件而改变。\n    当发电机转速偏离额定转速时，调节器的转速也改变，通过摇臂系统，操纵节流风门开大或关小，改变进入ППО的空气量，使ППО的转速变大或变小，从而使发电机的转速也随之改变，恢复到额定转速。\n    为了防止ППО在发动机低于慢车转速时或其它情况“提前”被接通，从而使ППО超过最大的允许转速，为此在ППО的构造中，设有压差信号器XCI-1.2,使发动机转速小于“慢车转速”的情况下，ППО接不通。也就是当发动机转速减少到小于慢车转速时，压差信号器膜盒接触点脱开，电路断开，使ППО关闭。\n    在游星减速器的输出轴上装有极限连轴器，当发电机卡滞或飞机电力系统工作不正常、发电机负荷过大时，为了预防其它传动机构损伤，极限连轴器折断，在ППО的齿轮减速箱内还有棘轮机构，防止在关闭空气涡轮时产生反转。\n技术参数如下：\nГТ60ПЧ6А额定转速                        6000r/min±60r/min\nГТ60ПЧ6А最大允许转速                    7050r/min±200r/min\n高压压气机转速范围(发电机保持恒速)        (5870～10860)r/min\n发动机在额定转速内交流频率                400Hz±4Hz\n空气涡轮ППО工作转速                     (4300～34600)r/min\n离心开关限制转速                          (46120±1030)r/min\n除慢车转速外，在发动机所有状态，\n由ППО驱动发电机的功率\n(COSФ=0.8～1)\n    长期使用     60kW\n    5min使用     ≤90kW\n    5s瞬间       ≤120kW\n      小转速和近地飞行    ≤50kW\n      小转速高空飞行      ≤80kW'}
"
发电机的转速与发动机高压压气机的转速在慢车之前是什么关系？,在发动机开车和在慢车之前，发电机的转速和发动机高压压气机的转速成正比例的变化 。,"{'title': '恒速传动系统', 'text': '对发电机的传动，经过游星减速器有两个传动来源，一个是由发动机高压压气机转子轴传动，另一个是由空气涡轮ППО传动\n    空气涡轮ППО的转速和发动机的转速成反比变化，发动机转速越高，ППО的转速反而越低，最终将发电机保持在额定转速上运转。\n    但在发动机开车和在慢车之前，是关闭的，节流风门位于关闭的位置，发电\n机的转速和发动机高压压气机成正比例的变化(发电机的转速在额定转速以下),当发动机达到慢车转速时，ППО被接通，有电压供给电磁活门MKT-372,这时节流风门打开。空气由高压压气机进入空气涡轮ППО, ППО转速增加，带动发电机到额定转速，由调节器保持发电机的额定转速，不随发动机的工作状态、负荷和飞行条件而改变。\n    当发电机转速偏离额定转速时，调节器的转速也改变，通过摇臂系统，操纵节流风门开大或关小，改变进入ППО的空气量，使ППО的转速变大或变小，从而使发电机的转速也随之改变，恢复到额定转速。\n    为了防止ППО在发动机低于慢车转速时或其它情况“提前”被接通，从而使ППО超过最大的允许转速，为此在ППО的构造中，设有压差信号器XCI-1.2,使发动机转速小于“慢车转速”的情况下，ППО接不通。也就是当发动机转速减少到小于慢车转速时，压差信号器膜盒接触点脱开，电路断开，使ППО关闭。\n    在游星减速器的输出轴上装有极限连轴器，当发电机卡滞或飞机电力系统工作不正常、发电机负荷过大时，为了预防其它传动机构损伤，极限连轴器折断，在ППО的齿轮减速箱内还有棘轮机构，防止在关闭空气涡轮时产生反转。\n技术参数如下：\nГТ60ПЧ6А额定转速                        6000r/min±60r/min\nГТ60ПЧ6А最大允许转速                    7050r/min±200r/min\n高压压气机转速范围(发电机保持恒速)        (5870～10860)r/min\n发动机在额定转速内交流频率                400Hz±4Hz\n空气涡轮ППО工作转速                     (4300～34600)r/min\n离心开关限制转速                          (46120±1030)r/min\n除慢车转速外，在发动机所有状态，\n由ППО驱动发电机的功率\n(COSФ=0.8～1)\n    长期使用     60kW\n    5min使用     ≤90kW\n    5s瞬间       ≤120kW\n      小转速和近地飞行    ≤50kW\n      小转速高空飞行      ≤80kW'}
"
燃滑油散热器的燃油滤需要检查哪些信号器？,无,无
发动机进气导向器的叶片检查通常与哪个部件的第一级叶片一起进行？,无,无
哪两个部件分别传动了发电机？,这两个部件分别是发动机高压压气机转子轴和空气涡轮 ППО 。,"{'title': '恒速传动系统', 'text': '对发电机的传动，经过游星减速器有两个传动来源，一个是由发动机高压压气机转子轴传动，另一个是由空气涡轮ППО传动\n    空气涡轮ППО的转速和发动机的转速成反比变化，发动机转速越高，ППО的转速反而越低，最终将发电机保持在额定转速上运转。\n    但在发动机开车和在慢车之前，是关闭的，节流风门位于关闭的位置，发电\n机的转速和发动机高压压气机成正比例的变化(发电机的转速在额定转速以下),当发动机达到慢车转速时，ППО被接通，有电压供给电磁活门MKT-372,这时节流风门打开。空气由高压压气机进入空气涡轮ППО, ППО转速增加，带动发电机到额定转速，由调节器保持发电机的额定转速，不随发动机的工作状态、负荷和飞行条件而改变。\n    当发电机转速偏离额定转速时，调节器的转速也改变，通过摇臂系统，操纵节流风门开大或关小，改变进入ППО的空气量，使ППО的转速变大或变小，从而使发电机的转速也随之改变，恢复到额定转速。\n    为了防止ППО在发动机低于慢车转速时或其它情况“提前”被接通，从而使ППО超过最大的允许转速，为此在ППО的构造中，设有压差信号器XCI-1.2,使发动机转速小于“慢车转速”的情况下，ППО接不通。也就是当发动机转速减少到小于慢车转速时，压差信号器膜盒接触点脱开，电路断开，使ППО关闭。\n    在游星减速器的输出轴上装有极限连轴器，当发电机卡滞或飞机电力系统工作不正常、发电机负荷过大时，为了预防其它传动机构损伤，极限连轴器折断，在ППО的齿轮减速箱内还有棘轮机构，防止在关闭空气涡轮时产生反转。\n技术参数如下：\nГТ60ПЧ6А额定转速                        6000r/min±60r/min\nГТ60ПЧ6А最大允许转速                    7050r/min±200r/min\n高压压气机转速范围(发电机保持恒速)        (5870～10860)r/min\n发动机在额定转速内交流频率                400Hz±4Hz\n空气涡轮ППО工作转速                     (4300～34600)r/min\n离心开关限制转速                          (46120±1030)r/min\n除慢车转速外，在发动机所有状态，\n由ППО驱动发电机的功率\n(COSФ=0.8～1)\n    长期使用     60kW\n    5min使用     ≤90kW\n    5s瞬间       ≤120kW\n      小转速和近地飞行    ≤50kW\n      小转速高空飞行      ≤80kW'}
"
